id	name	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
0	GridAVoltage: Data[0] / 10	2391	2391	2388	2387	2410	2409	2409	2403	2409
1	GridBVoltage: Data[1] / 10	2387	2387	2385	2385	2405	2404	2404	2397	2411
2	GridCVoltage: Data[2] / 10	2404	2404	2413	2413	2430	2429	2435	2427	2430
3	GridACurrent: read16BitSigned(Data[3]) / 10	10	10	11	11	10	10	10	10	10
4	GridBCurrent: read16BitSigned(Data[4]) / 10	12	12	13	13	12	12	12	12	12
5	GridCCurrent: read16BitSigned(Data[5]) / 10	12	12	12	12	11	11	11	11	11
6	GridAPower: read16BitSigned(Data[6])	90	90	110	105	43	40	36	39	40
7	GridBPower: read16BitSigned(Data[7])	99	99	161	154	108	110	104	104	106
8	GridCPower: read16BitSigned(Data[8])	146	146	169	170	123	111	106	112	114
9	GridPowerTotal: (inverterPower)	335	335	440	429	274	261	246	255	260
10	Vdc1: Data[10] / 10	0	0	0	0	0	0	0	0	0
11	Vdc2: Data[11] / 10	0	0	0	0	0	0	0	0	0
12	Idc1: Data[12] / 10	0	0	0	0	0	0	0	0	0
13	Idc2: Data[13] / 10	0	0	0	0	0	0	0	0	0
14	PowerDc1: Data[14]	0	0	0	0	0	0	0	0	0
15	PowerDc2: Data[15]	0	0	0	0	0	0	0	0	0
16	FreqacA: Data[16] / 100	5000	5000	5003	5002	4999	5000	5001	4986	5002
17	FreqacB: Data[17] / 100	5000	5000	5003	5002	4999	5000	5001	4977	5002
18	FreqacC: Data[18] / 100	5000	5000	5003	5002	4999	5000	5001	4980	5002
19	RunMode: Data[19]	2	2	2	2	2	2	2	2	2
20	Unknown	0	0	0	0	0	0	0	0	0
21	Unknown	0	0	0	0	0	0	0	0	0
22	Unknown	0	0	0	0	0	0	0	0	0
23	EPSAVoltage: Data[23] / 10	0	0	0	0	0	0	0	0	0
24	EPSBVoltage: Data[24] / 10	0	0	0	0	0	0	0	0	0
25	EPSCVoltage: Data[25] / 10	0	0	0	0	0	0	0	0	0
26	EPSACurrent: read16BitSigned(Data[26]) / 10	0	0	0	0	0	0	0	0	0
27	EPSBCurrent: read16BitSigned(Data[27]) / 10	0	0	0	0	0	0	0	0	0
28	EPSCCurrent: read16BitSigned(Data[28]) / 10	0	0	0	0	0	0	0	0	0
29	EPSAPower: read16BitSigned(Data[29])	0	0	0	0	0	0	0	0	0
30	EPSBPower: read16BitSigned(Data[30])	0	0	0	0	0	0	0	0	0
31	EPSCPower: read16BitSigned(Data[31])	0	0	0	0	0	0	0	0	0
32	Unknown	0	0	0	0	0	0	0	0	0
33	Unknown	0	0	0	0	0	0	0	0	0
34	feedInPower: read32BitSigned(Data[34], Data[35])	0	0	0	0	0	0	0	0	0
